date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:50	21645/21645	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Grundlagen	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Grundlagen.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:50	18675/18675	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Hilfsmittel	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Hilfsmittel.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:51	47225/47225	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Feb%202015%2014:44:57%20GMT	http://wiki.selfhtml.org/wiki/Suchmaschinenoptimierung	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Suchmaschinenoptimierung.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:51	23082/23082	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Typographie	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Typographie.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:51	18037/18037	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Websemantics	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Websemantics.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:51	19508/19508	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Webserver	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Webserver.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:51	19575/19575	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Feb%202015%2008:12:26%20GMT	http://wiki.selfhtml.org/wiki/Webstandards	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Webstandards.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:52	41408/41408	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Webstandards/Benutzerfreundlichkeit_und_Barrierefreiheit	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Webstandards/Benutzerfreundlichkeit_und_Barrierefreiheit.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:53	34410/34410	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Webstandards/Content_Usability	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Webstandards/Content_Usability.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:53	84293/84293	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Feb%202015%2013:56:05%20GMT	http://wiki.selfhtml.org/wiki/Webstandards/Internationalisierung	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Webstandards/Internationalisierung.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:53	28177/28177	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Webstandards/Layoutkonzepte	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Webstandards/Layoutkonzepte.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:54	23846/23846	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Webstandards/responsive_Webdesign	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Webstandards/responsive_Webdesign.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:55	53051/53051	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Feb%202015%2009:33:40%20GMT	http://wiki.selfhtml.org/wiki/Zeichenkodierung	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Zeichenkodierung.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:55	20348/20348	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Java	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Java.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:55	22297/22297	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/JQuery	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/JQuery.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:55	34724/34724	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Feb%202015%2013:46:00%20GMT	http://wiki.selfhtml.org/wiki/LaTeX	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/LaTeX.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:55	25101/25101	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Perl	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Perl.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:56	27263/27263	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Feb%202015%2021:02:48%20GMT	http://wiki.selfhtml.org/wiki/PHP	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/PHP.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:57	24094/24094	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Feb%202015%2005:48:25%20GMT	http://wiki.selfhtml.org/wiki/SVG	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/SVG.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:57	45050/45050	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Feb%202015%2013:47:20%20GMT	http://wiki.selfhtml.org/wiki/XML	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/XML.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:57	20488/20488	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Feb%202015%2011:50:44%20GMT	http://wiki.selfhtml.org/wiki/Referenzen	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Referenzen.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:58	34491/34491	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Feb%202015%2011:55:57%20GMT	http://wiki.selfhtml.org/wiki/Referenz:HTML	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Referenz_HTML.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:58	75240/75240	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Feb%202015%2009:33:25%20GMT	http://wiki.selfhtml.org/wiki/Referenz:HTML/Zeichenreferenz	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Referenz_HTML/Zeichenreferenz.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:58	19073/19073	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Referenz:CSS	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Referenz_CSS.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:59	19679/19679	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Referenz:HTTP	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Referenz_HTTP.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:07:59	31690/31690	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202015%2019:22:20%20GMT	http://wiki.selfhtml.org/wiki/Artikel	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Artikel.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:00	25554/25554	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Glossar	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Glossar.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:01	22962/22962	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Feb%202015%2013:10:18%20GMT	http://wiki.selfhtml.org/wiki/Kurse	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Kurse.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:01	27842/27842	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/SELFHTML:Wiki/Mitarbeit_FAQ	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/SELFHTML_Wiki/Mitarbeit_FAQ.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:02	31655/31655	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Feb%202015%2013:45:46%20GMT	http://wiki.selfhtml.org/wiki/SELFHTML:Wiki/Lizenzvereinbarungen	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/SELFHTML_Wiki/Lizenzvereinbarungen.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:02	24997/24997	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/SELFHTML:Wiki/Datenschutz	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/SELFHTML_Wiki/Datenschutz.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:02	15884/15884	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Mar%202015%2022:13:03%20GMT	http://wiki.selfhtml.org/wiki/Spezial:Anmelden	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Spezial_Anmelden.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:02	21285/21285	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/SELFHTML:Wiki/Baustellen	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/SELFHTML_Wiki/Baustellen.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:03	27262/27262	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Feb%202015%2010:53:46%20GMT	http://wiki.selfhtml.org/wiki/Hilfe	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Hilfe.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:03	40443/40443	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Feb%202015%2013:45:49%20GMT	http://wiki.selfhtml.org/wiki/SELFHTML:Wiki/Beispiel-Dokumentationsseite	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/SELFHTML_Wiki/Beispiel-Dokumentationsseite.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:04	36128/36128	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Feb%202015%2006:18:10%20GMT	http://wiki.selfhtml.org/wiki/SELFHTML:Wiki/Umstellung_auf_die_neue_Struktur	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/SELFHTML_Wiki/Umstellung_auf_die_neue_Struktur.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:04	23006/23006	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Hilfe:Verbesserungsvorschl%c3%a4ge	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Hilfe_Verbesserungsvorschl%c3%a4ge.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:04	20317/20317	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Hilfe:Fragen	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Hilfe_Fragen.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:04	18151/18151	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Mar%202015%2022:13:06%20GMT	http://wiki.selfhtml.org/wiki/Spezial:Kategorien	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Spezial_Kategorien.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:05	24997/24997	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Kategorie:Hilfe	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Kategorie_Hilfe.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:05	20220/20220	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Kategorie:SELFHTML-Wiki	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Kategorie_SELFHTML-Wiki.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:05	20109/20109	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Kategorie:Portal	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Kategorie_Portal.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:06	25400/25400	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Diskussion:Startseite	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Diskussion_Startseite.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:06	3059/3059	---M--	200	added ('OK')	image/png	etag:%22a0a3d-bf3-5080a4f149f40%22	http://src.selfhtml.org/logo/S-110.png	C:/Users/joe_000/Desktop/SelFHTML/src.selfhtml.org/logo/S-110.png	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:06	23161/23161	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/SELFHTML:%c3%9cber	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/SELFHTML_%c3%9cber.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:07	33224/33224	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/SELFHTML	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/SELFHTML.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:07	19683/19683	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/Archiv_kompakt	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Archiv_kompakt.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:07	71373/71373	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Mar%202015%2021:58:15%20GMT	http://wiki.selfhtml.org/wiki/Spezial:Letzte_%c3%84nderungen	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Spezial_Letzte_%c3%84nderungen.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:08	26385/26385	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Mar%202015%2022:13:09%20GMT	http://wiki.selfhtml.org/wiki/Spezial:Linkliste/Startseite	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Spezial_Linkliste/Startseite.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:08	6857/6857	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2001%20Mar%202015%2021:58:15%20GMT	http://wiki.selfhtml.org/wiki/Spezial:%c3%84nderungen_an_verlinkten_Seiten/Startseite	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Spezial_%c3%84nderungen_an_verlinkten_Seiten/Startseite.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:09	28888/28888	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Mar%202015%2022:13:10%20GMT	http://wiki.selfhtml.org/wiki/Spezial:Spezialseiten	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Spezial_Spezialseiten.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:09	18152/18152	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Mar%202015%2022:13:10%20GMT	http://wiki.selfhtml.org/wiki/Spezial:Durchsuchen/Startseite	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/Spezial_Durchsuchen/Startseite.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:09	4724/4724	---M--	200	added ('OK')	image/png	etag:%22c05dd-1274-4d308b2d223d4%22	http://wiki.selfhtml.org/extensions/Flattr/flattr-100x17.png	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/extensions/Flattr/flattr-100x17.png	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:09	19091/19091	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2019:57:40%20GMT	http://wiki.selfhtml.org/wiki/SELFHTML:Flattr	C:/Users/joe_000/Desktop/SelFHTML/wiki.selfhtml.org/wiki/SELFHTML_Flattr.html	(from http://wiki.selfhtml.org/wiki/Startseite)
23:08:10	153/153	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Mar%202015%2022:08:10%20GMT	http://www.browser-statistik.de/browser.png?style=0	C:/Users/joe_000/Desktop/SelFHTML/www.browser-statistik.de/browser33e5.png	(from http://wiki.selfhtml.org/wiki/Startseite)
